major_index,major_stage,sub_stage,FULLERTON Fresh Flow1(Auto) Leads,FULLERTON Fresh Flow2(Manual) Leads,KSF Fresh Flow1(Auto) Leads,KSF Fresh Flow2(Manual) Leads,MFL Fresh Flow1(Auto) Leads,MFL Fresh Flow2(Manual) Leads,NACL Fresh Flow1(Auto) Leads,NACL Fresh Flow2(Manual) Leads,PIRAMAL Fresh Flow1(Auto) Leads,PIRAMAL Fresh Flow2(Manual) Leads,PYFL Fresh Flow1(Auto) Leads,PYFL Fresh Flow2(Manual) Leads,SHRIRAM Fresh Flow1(Auto) Leads,SHRIRAM Fresh Flow2(Manual) Leads
7,Selfie uploaded,Subtotal,1140.0,780.0,1320.0,881.0,225.0,129.0,229.0,132.0,27.0,15.0,393.0,267.0,132.0,54.0
7,Subtotal,,1140.0,780.0,1320.0,881.0,225.0,129.0,229.0,132.0,27.0,15.0,393.0,267.0,132.0,54.0
8,KYC completed,BRE2_FAILURE,219.0,61.0,,,255.0,87.0,92.0,32.0,13.0,8.0,,,149.0,29.0
8,KYC completed,BRE2_LOAN_OFFER_UPDATED,,,,,,,,,,,,,44.0,14.0
8,KYC completed,BRE2_REQUESTED,1.0,2.0,,,,,,,,,,,,
8,KYC completed,FETCH_LENDER_OFFER,,,,,,,,,,,5.0,5.0,,
8,KYC completed,KYC_PINCODE_NOT_SERVICEABLE,,,104.0,39.0,,,,,,,,,,
8,KYC completed,LAS_KYC_AUDIT_FAILURE,,,,,,,,,1.0,,,,,
8,KYC completed,LENDER_BRE_INIT,,,,,,,,,,,1.0,1.0,,
8,KYC completed,LENDER_BRE_INITIATED,,,10.0,3.0,,,,,,,,,,
8,KYC completed,LENDER_BRE_REJECTED,,,406.0,219.0,,,,,,,64.0,22.0,,
8,KYC completed,LENDER_BRE_RETRY,,,,,,,,,,,6.0,9.0,,
8,KYC completed,LENDER_GMV_UPLOAD_INIT,,,7.0,4.0,,,,,,,,,,
8,KYC completed,SERVICEABILITY_CHECK,,,5.0,1.0,,,,,,,,,,
8,KYC completed,SERVICEABILITY_REJECTED,53.0,24.0,,,,,,,,,,,,
8,KYC completed,Subtotal,273.0,87.0,532.0,266.0,255.0,87.0,92.0,32.0,14.0,8.0,76.0,37.0,193.0,43.0
8,Subtotal,,273.0,87.0,532.0,266.0,255.0,87.0,92.0,32.0,14.0,8.0,76.0,37.0,193.0,43.0
9,BRE2 completed,ADD_BANK,,,,,,,,,,,27.0,21.0,,
9,BRE2 completed,BANK_VALIDATION_FAILURE2,7.0,13.0,,,,,3.0,2.0,4.0,1.0,,,51.0,9.0
9,BRE2 completed,BANK_VALIDATION_PENDING,80.0,107.0,,,3.0,3.0,25.0,9.0,15.0,14.0,,,21.0,19.0
9,BRE2 completed,BANK_VERIFICATION_FAILURE,31.0,33.0,,,2.0,2.0,5.0,2.0,5.0,3.0,,,4.0,6.0
9,BRE2 completed,FETCH_SETTLEMENT_ACCOUNT,,,,,,,,,,,1.0,2.0,,
9,BRE2 completed,FETCH_SETTLEMENT_BANK_ACCOUNT,3.0,3.0,,,,1.0,1.0,,,,,,,2.0
9,BRE2 completed,LENDER_KYC_VALIDATE_INIT,,,5.0,3.0,,,,,,,,,,
9,BRE2 completed,LENDER_KYC_VALIDATION_REJECTED,,,36.0,24.0,,,,,,,,,,
9,BRE2 completed,MAQUETTE_FRAUD_CHECK_FAILURE,90.0,53.0,,,5.0,2.0,12.0,4.0,19.0,15.0,,,31.0,12.0
9,BRE2 completed,PENNY_DROP_COMPLETED,,,,,,,,,,,,1.0,,
9,BRE2 completed,Subtotal,211.0,209.0,41.0,27.0,10.0,8.0,46.0,17.0,43.0,33.0,28.0,24.0,107.0,48.0
9,Subtotal,,211.0,209.0,41.0,27.0,10.0,8.0,46.0,17.0,43.0,33.0,28.0,24.0,107.0,48.0
10,Disbursal acc verified,AWAIT_OFFER_ACCEPT,,,255.0,139.0,,,,,,,131.0,74.0,,
10,Disbursal acc verified,BANKING_ACTION_DONE,696.0,446.0,,,,,,,,,,,100.0,52.0
10,Disbursal acc verified,KYB_FETCH_MPA_FAILURE,,,,,,,,,3.0,,,,,
10,Disbursal acc verified,KYB_FETCH_MPA_SUCCESS,,,,,,,,,101.0,68.0,,,,
10,Disbursal acc verified,KYB_SAVE_BUSINESS_DETAILS_FAILURE,,,,,,,,,1.0,,,,,
10,Disbursal acc verified,LENDER_BANK_SHARING_INITIATED,,,,,,,,,,,,1.0,,
10,Disbursal acc verified,LENDER_KYC_CONFIRMATION_IN_PROGRESS,,,,,,,,,,,1.0,,,
10,Disbursal acc verified,LOAN_AGREEMENT_PENDING,,,,,,,86.0,45.0,,,,,,
10,Disbursal acc verified,SECURED_OFFER_DISPLAYED,,,,,24.0,16.0,,,,,,,,
10,Disbursal acc verified,Subtotal,696.0,446.0,255.0,139.0,24.0,16.0,86.0,45.0,105.0,68.0,132.0,75.0,100.0,52.0
10,Subtotal,,696.0,446.0,255.0,139.0,24.0,16.0,86.0,45.0,105.0,68.0,132.0,75.0,100.0,52.0
11,Review submit,EMANDATE_REQUIRED,834.0,863.0,413.0,441.0,10.0,7.0,110.0,89.0,147.0,129.0,192.0,217.0,162.0,119.0
11,Review submit,EMANDATE_REQUIRED_V2,,,,,73.0,51.0,,,,,,,,
11,Review submit,Subtotal,834.0,863.0,413.0,441.0,83.0,58.0,110.0,89.0,147.0,129.0,192.0,217.0,162.0,119.0
11,Subtotal,,834.0,863.0,413.0,441.0,83.0,58.0,110.0,89.0,147.0,129.0,192.0,217.0,162.0,119.0
12,Mandate done,BANK_QC_DOC_UPLOAD_REQUIRED,12.0,10.0,,,2.0,,2.0,1.0,2.0,1.0,,,3.0,1.0
12,Mandate done,BUSINESS_PROOF_DOCUMENT_REQUIRED,,,,,,,1.0,1.0,,,,,,
12,Mandate done,GST_VERIFICATION_REQUEST_FAILURE,1.0,,,,,,,,,,,,,
12,Mandate done,INITIATE_DISBURSAL_ACCOUNT_NAME_MATCH_QC_DOC_UPLOAD,,,,,,,,,,,2.0,4.0,,
12,Mandate done,INITIATE_SETTLEMENT_ACCOUNT_NAME_MATCH_QC_DOC_UPLOAD,,,,,,,,,,,9.0,4.0,,
12,Mandate done,KYB_FETCH_MPA_SUCCESS,,,,,,1.0,,,,,,,,
12,Mandate done,LENDER_BANK_DETAILS_SHARING_INITIATED,,,7.0,2.0,,,,,,,,1.0,,
12,Mandate done,LENDER_DOC_UPLOAD_IN_PROGRESS_LOAN_AGREEMENT,,,1.0,,,,,,,,,,,
12,Mandate done,LENDER_MANDATE_DETAILS_SHARING_INITIATED,,,,,,,,,,,4.0,2.0,,
12,Mandate done,LENDER_PENNY_DROP_COMPLETED,,,1.0,,,,,,,,,,,
12,Mandate done,LENDER_UPDATE_APPLICATION_INITIATED,,,,,1.0,,,,,,,3.0,,
12,Mandate done,LOAN_AGREEMENT_PENDING,,,,,7.0,4.0,,,,,,,,
12,Mandate done,LOAN_QC_REJECTED,,,,,23.0,5.0,,,,,,,,
12,Mandate done,MOB_TO_UDYAM_FETCH_FAILURE_V2,80.0,44.0,,,,,,,,,,,,
12,Mandate done,PAN_QC_DOC_UPLOAD_REQUIRED,2.0,,,,,,,,,,,,,1.0
12,Mandate done,QC_ACTION_PENDING,,,,,7.0,2.0,,,,,,,,
12,Mandate done,SETTLEMENT_BANK_QC_DOC_REQUIRED,,,,,,,,,,,,,,2.0
12,Mandate done,UC_LENDER_FORM_SUBMISSION_REQUIRED,,,,,1.0,2.0,,,,,,,,
12,Mandate done,UC_REQUIRED,,,,,,,6.0,5.0,,,,,,
12,Mandate done,Subtotal,95.0,54.0,9.0,2.0,41.0,14.0,9.0,7.0,2.0,1.0,15.0,14.0,3.0,4.0
12,Subtotal,,95.0,54.0,9.0,2.0,41.0,14.0,9.0,7.0,2.0,1.0,15.0,14.0,3.0,4.0
13,Application submitted by user,ACCEPT_OFFER_INIT,,,,,,,,,,,4.0,6.0,,
13,Application submitted by user,AUDITOR_APPROVED,,,1.0,1.0,,,,,,,,,,
13,Application submitted by user,AUDITOR_REJECTED,,,4.0,,,,,,,,,,,
13,Application submitted by user,AWAIT_MULTI_SIGN_DOCS,,,1.0,1.0,,,,,,,4.0,1.0,,
13,Application submitted by user,BANK_QC_DOC_RE_UPLOAD_REQUIRED,16.0,13.0,,,,1.0,1.0,1.0,9.0,5.0,,,1.0,4.0
13,Application submitted by user,BUSINESS_APPROVAL_AWAITED,225.0,77.0,,,37.0,8.0,39.0,14.0,58.0,16.0,,,103.0,23.0
13,Application submitted by user,DIY_FI_DOC_UPLOADED,196.0,48.0,7.0,8.0,20.0,5.0,11.0,1.0,31.0,8.0,18.0,23.0,55.0,10.0
13,Application submitted by user,DIY_FI_REQUIRED,13.0,4.0,4.0,3.0,3.0,,1.0,,2.0,1.0,4.0,3.0,5.0,
13,Application submitted by user,FETCH_DOC_INIT,,,,2.0,,,,,,,,,,
13,Application submitted by user,FI_AWAITED,,,278.0,137.0,,,,,,,74.0,39.0,,
13,Application submitted by user,FI_ON_HOLD,,,260.0,130.0,,,,,,,93.0,55.0,,
13,Application submitted by user,FI_REJECTED,,,53.0,30.0,,,,,,,8.0,9.0,,
13,Application submitted by user,INITIATE_SETTLEMENT_ACCOUNT_NAME_MATCH_QC_DOC_REUPLOAD,,,,,,,,,,,1.0,2.0,,
13,Application submitted by user,KYC_EXPIRED,,,,1.0,,,,,,,,,,
13,Application submitted by user,LENDER_AUDIT_TRAIL_UPLOAD_INIT,,,3.0,2.0,,,,,,,,,,
13,Application submitted by user,LENDER_DOCUMENT_UPLOAD_FAILURE,,,,,1.0,1.0,1.0,,,,,,,
13,Application submitted by user,LENDER_DOCUMENT_UPLOAD_INITIATED,,,,,,,,1.0,,,,,,
13,Application submitted by user,LENDER_DOC_UPLOAD_IN_PROGRESS_APPLICATION_FORM,,,,,,,,,,,2.0,1.0,,
13,Application submitted by user,LENDER_DOC_UPLOAD_IN_PROGRESS_KFS_LETTER,,,,,,,,,,,1.0,1.0,,
13,Application submitted by user,LENDER_DOC_UPLOAD_IN_PROGRESS_LOAN_AGREEMENT,,,,,,,,,,,1.0,1.0,,
13,Application submitted by user,LENDER_DOC_UPLOAD_IN_PROGRESS_SANCTION_LETTER,,,,,,,,,,,2.0,4.0,,
13,Application submitted by user,LENDER_GMV_UPLOAD_INIT,,,,,,,,,,,7.0,3.0,,
13,Application submitted by user,LENDER_MVR_SHARING_INIT_FAILURE,,,,,,,30.0,20.0,,,,,,
13,Application submitted by user,LENDER_OFFER_EXPIRED,,,,,,,12.0,7.0,,,,,,
13,Application submitted by user,LIS_DATA_UPDATE_FAILED,116.0,32.0,,,,,,,,,,,,
13,Application submitted by user,LIS_DATA_UPDATE_REQUEST_SUCCESS,36.0,24.0,,,,,,,,,,,,
13,Application submitted by user,LMS_SUBMIT_APPLICATION_FAILED,5.0,2.0,,,,,,,,,,,,
13,Application submitted by user,LOAN_APPLICATION_ON_HOLD,451.0,182.0,,,37.0,11.0,36.0,9.0,61.0,35.0,,,115.0,23.0
13,Application submitted by user,LOAN_APPLICATION_REJECTED,448.0,170.0,,,23.0,3.0,24.0,7.0,50.0,16.0,,,97.0,31.0
13,Application submitted by user,LOAN_QC_REJECTED,299.0,190.0,,,,,35.0,18.0,87.0,38.0,,,103.0,52.0
13,Application submitted by user,PAN_QC_DOC_RE_UPLOAD_REQUIRED,4.0,6.0,,,3.0,,,,,,,,1.0,
13,Application submitted by user,PDC_INITIATE,,,4.0,1.0,,,,,,,1.0,,,
13,Application submitted by user,PREDISBURSAL_FAILED,4.0,2.0,,,,,,,,,,,,
13,Application submitted by user,PREDISBURSAL_REJECTED,17.0,16.0,,,,,,,4.0,3.0,,,6.0,7.0
13,Application submitted by user,QC_ACTION_PENDING,11.0,5.0,,,,,1.0,2.0,3.0,1.0,3.0,2.0,11.0,5.0
13,Application submitted by user,QC_REJECTED,7.0,4.0,,,,,1.0,1.0,3.0,2.0,3.0,1.0,9.0,2.0
13,Application submitted by user,SETTLEMENT_BANK_QC_DOC_RE_UPLOAD_REQUIRED,,3.0,,,,,,1.0,1.0,1.0,,,3.0,3.0
