lender,loan,amt_cr,ats,avg,avg_pf
SMFG,1860,42.45,228220,32.83,3.81
KSF,517,4.99,96602,31.56,4.32
SRIRAM,362,4.17,115169,33.15,4.11
PIRAMAL,336,4.83,143896,31.75,3.74
PAYU,271,5.88,217133,33.23,4.32
NACL,111,2.86,257324,32.20,3.78
UCL,87,0.22,25598,24,2.00
MFL,53,0.65,123283,31.71,4.48
TCL,8,0.15,190250,29.13,4.00
