lead_type,loan,amt_cr,ats,avg,avg_pf
FRESH,1731,22.60,130573,32.76,4.13
TOP-UP,842,27.78,329947,32.96,3.70
RENEWAL,529,11.48,217055,32.14,3.95
BUREAU,248,2.20,88569,33,4.69
BANKING,134,1.15,85701,28,3.00
MICROMI,87,0.22,25598,24,2.00
BT,21,0.65,311286,32.94,3.92
AD,13,0.13,99231,33,3.93
