lead_type,loan,amt_cr,ats,avg,avg_pf
FRESH,40637,507.85,124973,32.56,4.18
TOP-UP,23938,751.24,313829,32.90,3.75
RENEWAL,12442,277.41,222963,32.33,4.05
BT,509,16.00,314348,32.64,3.87
AD,236,2.54,107492,32.88,4.09
BANKING,202,2.39,118198,28,3.00
BUREAU,129,1.39,107450,33,4.73
MICROMI,83,0.19,22723,24,2.00
