lender,aop,mtd_cr,lmsd_cr
SMFG,1375,982.59,960.59
PIRAMAL,140,112.11,132.94
NACL,130,94.29,82.21
MFL,130,50.82,94.16
PAYU,115,103.31,96.51
KSF,100,95.64,101.01
SRIRAM,100,77.94,83.27
TCL,15,4.84,7.20
PROFECTUS,0,0.00,0.95
UCL,0,6.63,0.19
