lender,loan,amt_cr,ats,avg,avg_pf
SMFG,37558,960.59,255761,32.67,3.82
KSF,10746,101.01,94000,32.67,4.39
PIRAMAL,7567,132.94,175684,32.67,3.93
SRIRAM,6945,83.27,119894,32.67,4.12
MFL,5878,94.16,160183,32.67,4.33
PAYU,5372,96.51,179646,32.67,4.36
NACL,3678,82.21,223511,32.67,3.79
TCL,301,7.20,239166,32.67,4.00
UCL,83,0.19,22723,32.67,2.00
PROFECTUS,48,0.95,197000,32.67,4.46
