lender,product_type,isautoleadcreated,major_index,major_stage,Leads,Conv. %
PIRAMAL,Fresh,Flow2(Manual),6,Child_Lead_Created,7478,
PIRAMAL,Fresh,Flow2(Manual),7,Selfie uploaded,3540,47.34
PIRAMAL,Fresh,Flow2(Manual),8,KYC completed,2207,62.34
PIRAMAL,Fresh,Flow2(Manual),9,BRE2 completed,1465,66.38
PIRAMAL,Fresh,Flow2(Manual),10,Disbursal acc verified,1446,98.7
PIRAMAL,Fresh,Flow2(Manual),11,Review submit,1361,94.12
PIRAMAL,Fresh,Flow2(Manual),12,Mandate done,1229,90.3
PIRAMAL,Fresh,Flow2(Manual),13,Application submitted by user,1228,99.92
PIRAMAL,Fresh,Flow2(Manual),14,Submit to LMS,1104,89.9
PIRAMAL,Fresh,Flow2(Manual),15,Disbursed,1071,97.01
PYFL,Fresh,Flow1(Auto),6,Child_Lead_Created,4697,
PYFL,Fresh,Flow1(Auto),7,Selfie uploaded,3640,77.5
PYFL,Fresh,Flow1(Auto),8,KYC completed,3469,95.3
PYFL,Fresh,Flow1(Auto),9,BRE2 completed,1863,53.7
PYFL,Fresh,Flow1(Auto),10,Disbursal acc verified,1838,98.66
PYFL,Fresh,Flow1(Auto),11,Review submit,1695,92.22
PYFL,Fresh,Flow1(Auto),12,Mandate done,1495,88.2
PYFL,Fresh,Flow1(Auto),13,Application submitted by user,1695,113.38
PYFL,Fresh,Flow1(Auto),14,Submit to LMS,1150,67.85
PYFL,Fresh,Flow1(Auto),15,Disbursed,1102,95.83
PYFL,Fresh,Flow2(Manual),6,Child_Lead_Created,3058,
PYFL,Fresh,Flow2(Manual),7,Selfie uploaded,2587,84.6
PYFL,Fresh,Flow2(Manual),8,KYC completed,2495,96.44
PYFL,Fresh,Flow2(Manual),9,BRE2 completed,1634,65.49
PYFL,Fresh,Flow2(Manual),10,Disbursal acc verified,1613,98.71
PYFL,Fresh,Flow2(Manual),11,Review submit,1533,95.04
PYFL,Fresh,Flow2(Manual),12,Mandate done,1308,85.32
PYFL,Fresh,Flow2(Manual),13,Application submitted by user,1533,117.2
PYFL,Fresh,Flow2(Manual),14,Submit to LMS,1077,70.25
PYFL,Fresh,Flow2(Manual),15,Disbursed,1037,96.29
SHRIRAM,Fresh,Flow1(Auto),6,Child_Lead_Created,6822,
SHRIRAM,Fresh,Flow1(Auto),7,Selfie uploaded,6189,90.72
SHRIRAM,Fresh,Flow1(Auto),8,KYC completed,4294,69.38
SHRIRAM,Fresh,Flow1(Auto),9,BRE2 completed,3444,80.2
SHRIRAM,Fresh,Flow1(Auto),10,Disbursal acc verified,3409,98.98
SHRIRAM,Fresh,Flow1(Auto),11,Review submit,3071,90.09
SHRIRAM,Fresh,Flow1(Auto),12,Mandate done,2900,94.43
SHRIRAM,Fresh,Flow1(Auto),13,Application submitted by user,2897,99.9
SHRIRAM,Fresh,Flow1(Auto),14,Submit to LMS,2383,82.26
SHRIRAM,Fresh,Flow1(Auto),15,Disbursed,2038,85.52
SHRIRAM,Fresh,Flow2(Manual),6,Child_Lead_Created,3041,
SHRIRAM,Fresh,Flow2(Manual),7,Selfie uploaded,2799,92.04
SHRIRAM,Fresh,Flow2(Manual),8,KYC completed,1903,67.99
SHRIRAM,Fresh,Flow2(Manual),9,BRE2 completed,1614,84.81
SHRIRAM,Fresh,Flow2(Manual),10,Disbursal acc verified,1579,97.83
SHRIRAM,Fresh,Flow2(Manual),11,Review submit,1426,90.31
SHRIRAM,Fresh,Flow2(Manual),12,Mandate done,1303,91.37
SHRIRAM,Fresh,Flow2(Manual),13,Application submitted by user,1299,99.69
SHRIRAM,Fresh,Flow2(Manual),14,Submit to LMS,1140,87.76
SHRIRAM,Fresh,Flow2(Manual),15,Disbursed,993,87.11
