lender,loan,amt_cr,ats,avg,avg_pf
SMFG,43733,982.59,224679,32.68,3.85
KSF,10281,95.64,93028,31.58,4.38
PIRAMAL,6873,112.11,163110,32.32,3.85
SRIRAM,6027,77.94,129320,32.91,4.08
PAYU,5571,103.31,185437,33.58,4.37
NACL,4536,94.29,207861,32.58,3.82
MFL,3335,50.82,152377,31.59,4.30
UCL,2806,6.63,23632,24,2.00
TCL,239,4.84,202494,29.17,4.00
