lender,product_type,major_index,major_stage,leads,period
MFL,Fresh,15,Disbursed,165,2.LMTD
PYFL,Fresh,15,Disbursed,1276,2.LMTD
SHRIRAM,Fresh,11,Review submit,2226,2.LMTD
KSF,Fresh,9,BRE2 completed,4964,2.LMTD
FULLERTON_BUREAU,Fresh,11,Review submit,547,2.LMTD
TCL,Fresh,12,Mandate done,155,2.LMTD
PIRAMAL AA,Fresh,6,Child Lead Created,16040,2.LMTD
PYFL,Fresh,11,Review submit,1663,2.LMTD
FULLERTON,Fresh,6,Child_Lead_Created,17768,2.LMTD
KSF,Fresh,7,Selfie uploaded,7748,2.LMTD
NACL,Fresh,9,BRE2 completed,972,2.LMTD
MFL,Fresh,10,Disbursal acc verified,217,2.LMTD
NACL,Fresh,14,Submit to LMS,627,2.LMTD
PIRAMAL,Fresh,12,Mandate done,1598,1.MTD
SHRIRAM,Fresh,14,Submit to LMS,2659,1.MTD
PIRAMAL,Fresh,9,BRE2 completed,1827,1.MTD
TCL,Fresh,10,Disbursal acc verified,107,1.MTD
TCL,Fresh,6,Child Lead Created,790,1.MTD
NACL,Fresh,15,Disbursed,464,1.MTD
SHRIRAM,Fresh,13,Application submitted by user,3139,1.MTD
KSF,Fresh,11,Review submit,3035,1.MTD
FULLERTON,Fresh,10,Disbursal acc verified,8822,1.MTD
KSF,Fresh,8,KYC completed,5754,1.MTD
MFL,Fresh,14,Submit to LMS,178,1.MTD
TCL,Fresh,8,KYC completed,310,1.MTD
MFL,Fresh,6,Child_Lead_Created,498,1.MTD
NACL,Fresh,12,Mandate done,887,1.MTD
FULLERTON,Fresh,11,Review submit,8037,1.MTD
TCL,Fresh,11,Review submit,85,1.MTD
KSF,Fresh,13,Application submitted by user,2617,1.MTD
NACL,Fresh,7,Selfie uploaded,2134,1.MTD
PIRAMAL,Fresh,6,Child_Lead_Created,5847,1.MTD
KSF,Fresh,6,Child Lead Created,10005,1.MTD
PIRAMAL AA,Fresh,7,Selfie uploaded,22482,1.MTD
MFL,Fresh,7,Selfie uploaded,448,1.MTD
MFL,Fresh,12,Mandate done,224,1.MTD
PIRAMAL,Fresh,10,Disbursal acc verified,1827,1.MTD
FULLERTON_BUREAU,Fresh,8,KYC completed,1752,1.MTD
FULLERTON_BUREAU,Fresh,9,BRE2 completed,674,1.MTD
FULLERTON_BUREAU,Fresh,10,Disbursal acc verified,669,1.MTD
FULLERTON,Fresh,15,Disbursed,6077,1.MTD
PIRAMAL,Fresh,13,Application submitted by user,1598,1.MTD
PIRAMAL AA,Fresh,8,KYC completed,5413,1.MTD
PYFL,Fresh,10,Disbursal acc verified,1957,1.MTD
SHRIRAM,Fresh,12,Mandate done,3147,1.MTD
FULLERTON_BUREAU,Fresh,7,Selfie uploaded,1973,1.MTD
SHRIRAM,Fresh,6,Child_Lead_Created,6910,1.MTD
PIRAMAL,Fresh,14,Submit to LMS,1425,1.MTD
FULLERTON,Fresh,13,Application submitted by user,7313,1.MTD
NACL,Fresh,10,Disbursal acc verified,1061,1.MTD
NACL,Fresh,11,Review submit,977,1.MTD
PIRAMAL AA,Fresh,6,Child_Lead_Created,30285,1.MTD
PYFL,Fresh,14,Submit to LMS,1407,1.MTD
PYFL,Fresh,9,BRE2 completed,1979,1.MTD
SHRIRAM,Fresh,9,BRE2 completed,3662,1.MTD
PYFL,Fresh,13,Application submitted by user,1539,1.MTD
SHRIRAM,Fresh,10,Disbursal acc verified,3629,1.MTD
TCL,Fresh,15,Disbursed,42,1.MTD
PIRAMAL AA,Fresh,13,Application submitted by user,416,1.MTD
MFL,Fresh,9,BRE2 completed,260,1.MTD
NACL,Fresh,8,KYC completed,1584,1.MTD
PIRAMAL,Fresh,7,Selfie uploaded,5176,1.MTD
NACL,Fresh,6,Child_Lead_Created,2593,1.MTD
FULLERTON,Fresh,9,BRE2 completed,8935,1.MTD
PIRAMAL,Fresh,11,Review submit,1695,1.MTD
FULLERTON,Fresh,12,Mandate done,7333,1.MTD
MFL,Fresh,11,Review submit,244,1.MTD
PYFL,Fresh,6,Child_Lead_Created,4675,1.MTD
FULLERTON_BUREAU,Fresh,15,Disbursed,501,1.MTD
FULLERTON_BUREAU,Fresh,13,Application submitted by user,558,1.MTD
TCL,Fresh,14,Submit to LMS,54,1.MTD
MFL,Fresh,13,Application submitted by user,217,1.MTD
MFL,Fresh,8,KYC completed,350,1.MTD
TCL,Fresh,6,Child_Lead_Created,810,1.MTD
PIRAMAL AA,Fresh,9,BRE2 completed,828,1.MTD
KSF,Fresh,6,Child_Lead_Created,10005,1.MTD
PYFL,Fresh,12,Mandate done,1539,1.MTD
FULLERTON,Fresh,7,Selfie uploaded,14444,1.MTD
FULLERTON_BUREAU,Fresh,6,Child_Lead_Created,2228,1.MTD
PIRAMAL AA,Fresh,12,Mandate done,421,1.MTD
FULLERTON_BUREAU,Fresh,14,Submit to LMS,502,1.MTD
PIRAMAL,Fresh,15,Disbursed,1367,1.MTD
PIRAMAL AA,Fresh,10,Disbursal acc verified,774,1.MTD
PIRAMAL,Fresh,8,KYC completed,3330,1.MTD
KSF,Fresh,14,Submit to LMS,2557,1.MTD
FULLERTON,Fresh,14,Submit to LMS,6289,1.MTD
KSF,Fresh,15,Disbursed,2463,1.MTD
FULLERTON_BUREAU,Fresh,12,Mandate done,560,1.MTD
SHRIRAM,Fresh,7,Selfie uploaded,6171,1.MTD
TCL,Fresh,7,Selfie uploaded,427,1.MTD
PYFL,Fresh,6,Child Lead Created,4675,1.MTD
NACL,Fresh,13,Application submitted by user,938,1.MTD
KSF,Fresh,12,Mandate done,2673,1.MTD
PYFL,Fresh,7,Selfie uploaded,3712,1.MTD
TCL,Fresh,13,Application submitted by user,68,1.MTD
KSF,Fresh,10,Disbursal acc verified,3244,1.MTD
TCL,Fresh,9,BRE2 completed,107,1.MTD
FULLERTON,Fresh,8,KYC completed,11939,1.MTD
SHRIRAM,Fresh,15,Disbursed,2258,1.MTD
SHRIRAM,Fresh,8,KYC completed,4414,1.MTD
PIRAMAL AA,Fresh,11,Review submit,423,1.MTD
PYFL,Fresh,8,KYC completed,2780,1.MTD
MFL,Fresh,15,Disbursed,160,1.MTD
PYFL,Fresh,15,Disbursed,1343,1.MTD
SHRIRAM,Fresh,11,Review submit,3375,1.MTD
KSF,Fresh,9,BRE2 completed,3335,1.MTD
FULLERTON_BUREAU,Fresh,11,Review submit,602,1.MTD
TCL,Fresh,12,Mandate done,71,1.MTD
PIRAMAL AA,Fresh,6,Child Lead Created,30285,1.MTD
PYFL,Fresh,11,Review submit,1803,1.MTD
FULLERTON,Fresh,6,Child_Lead_Created,18276,1.MTD
KSF,Fresh,7,Selfie uploaded,7385,1.MTD
NACL,Fresh,9,BRE2 completed,1074,1.MTD
MFL,Fresh,10,Disbursal acc verified,258,1.MTD
NACL,Fresh,14,Submit to LMS,631,1.MTD
